Collection,Field,Count
applicationRecords,notes,444
applicationRecords,flags,444
applicationRecords,active,444
applicationRecords,exercise,444
applicationRecords,history,444
applicationRecords,_search,444
applicationRecords,issues,444
applicationRecords,candidate,444
applicationRecords,diversity,444
applicationRecords,stage,444
applicationRecords,application,444
applicationRecords,characterChecks,444
applicationRecords,stageLog,444
applicationRecords,status,444
applicationRecords,sift,216
applicationRecords,statusLog,199
applicationRecords,selectionDay,47
applicationRecords,preSelectionDayQuestionnaire,55
applicationRecords,panelIds,15
applicationRecords,_backups,1
applicationRecords_deleted,notes,1
applicationRecords_deleted,flags,1
applicationRecords_deleted,statusLog,1
applicationRecords_deleted,active,1
applicationRecords_deleted,exercise,1
applicationRecords_deleted,history,1
applicationRecords_deleted,_search,1
applicationRecords_deleted,issues,1
applicationRecords_deleted,sift,1
applicationRecords_deleted,candidate,1
applicationRecords_deleted,diversity,1
applicationRecords_deleted,deletedAt,1
applicationRecords_deleted,application,1
applicationRecords_deleted,characterChecks,1
applicationRecords_deleted,stage,1
applicationRecords_deleted,selectionDay,1
applicationRecords_deleted,stageLog,1
applicationRecords_deleted,status,1
applications,status,566
applications,_language,151
applications,client,151
applications,userId,566
applications,exerciseId,566
applications,exerciseName,566
applications,exerciseRef,566
applications,createdAt,566
applications,_sort,566
applications,uploadedSelfAssessment,162
applications,canSpeakWelsh,188
applications,canReadAndWriteWelsh,188
applications,applyingForWelshPost,188
applications,selectionCriteriaAnswers,226
applications,uploadedSelfAssessmentContent,13
applications,employmentGaps,459
applications,experienceDetails,43
applications,characterChecks,500
applications,personalDetails,566
applications,_search,565
applications,characterInformationV3,26
applications,equalityAndDiversitySurvey,472
applications,locationPreferences,444
applications,jurisdictionPreferences,32
applications,qualifications,464
applications,experienceUnderSchedule2D,463
applications,uploadedExemptionCertificate,48
applications,applyingUnderSchedule2d,463
applications,experienceUnderSchedule2Three,463
applications,applyingUnderSchedule2Three,463
applications,uploadedPracticingCertificate,48
applications,canGiveReasonableLOS,455
applications,cantGiveReasonableLOSDetails,455
applications,progress,566
applications,experience,462
applications,secondAssessorPhone,435
applications,quasiJudicialSittingDaysDetails,415
applications,skillsAquisitionDetails,415
applications,secondAssessorFullName,435
applications,referenceNumber,462
applications,firstAssessorFullName,437
applications,uploadedCV,136
applications,feePaidOrSalariedJudge,415
applications,firstAssessorEmail,437
applications,firstAssessorPhone,437
applications,declaredAppointmentInQuasiJudicialBody,415
applications,quasiJudicialSatForThirtyDays,415
applications,characterInformation,415
applications,uploadedSuitabilityStatement,143
applications,secondAssessorEmail,435
applications,appliedAt,462
applications,feePaidOrSalariedSittingDaysDetails,415
applications,feePaidOrSalariedSatForThirtyDays,415
applications,emailLog,52
applications,secondAssessorType,23
applications,secondAssessorTitle,270
applications,firstAssessorType,25
applications,firstAssessorTitle,272
applications,additionalInfo,37
applications,_processing,199
applications,secondAssessorSubmittedAssessment,324
applications,firstAssessorSubmittedAssessment,324
applications,processing,179
applications,characterInformationV2,57
applications,preSelectionDayQuestionnaire,55
applications,additionalWorkingPreferences,23
applications,uploadedCoveringLetter,16
applications,magistrateLocation,6
applications,magistrate,6
applications,magistrateEndDate,6
applications,magistrateStartDate,6
applications,firstAssessorID,5
applications,_submittedLog,2
applications,interestedInPartTime,10
applications,partTimeWorkingPreferencesDetails,9
applications,ore,1
applications,kgz,1
applications,dateExtension,1
applications,charteredAssociationBuildingEngineersDate,1
applications,generalMedicalCouncilConditionalEndDate,1
applications,professionalMemberships,1
applications,generalMedicalCouncilNumber,1
applications,generalMedicalCouncilDate,1
applications,memberships,1
applications,charteredInstituteBuildingNumber,1
applications,charteredAssociationBuildingEngineersNumber,1
applications,generalMedicalCouncilInformation,1
applications,royalInstitutionCharteredSurveyorsNumber,1
applications,charteredAssociationBuildingEngineersInformation,1
applications,generalMedicalCouncilConditional,1
applications,charteredInstituteEnvironmentalHealthInformation,1
applications,charteredInstituteBuildingDate,1
applications,royalInstitutionCharteredSurveyorsDate,1
applications,generalMedicalCouncilConditionalStartDate,1
applications,royalCollegeOfPsychiatristsNumber,1
applications,royalInstituteBritishArchitectsDate,1
applications,royalCollegeOfPsychiatristsInformation,1
applications,otherProfessionalMemberships,1
applications,otherProfessionalMembershipsDate,1
applications,royalInstituteBritishArchitectsNumber,1
applications,charteredInstituteBuildingInformation,1
applications,generalMedicalCouncilConditionalDetails,1
applications,charteredInstituteEnvironmentalHealthDate,1
applications,royalInstitutionCharteredSurveyorsInformation,1
applications,otherProfessionalMembershipsNumber,1
applications,royalCollegeOfPsychiatristsDate,1
applications,royalInstituteBritishArchitectsInformation,1
applications,charteredInstituteEnvironmentalHealthNumber,1
applications,otherProfessionalMembershipsInformation,1
applications_deleted,_language,1
applications_deleted,secondAssessorPhone,1
applications_deleted,characterInformationV2,1
applications_deleted,exerciseId,1
applications_deleted,applyingUnderSchedule2d,1
applications_deleted,firstAssessorType,1
applications_deleted,equalityAndDiversitySurvey,1
applications_deleted,experience,1
applications_deleted,_sort,1
applications_deleted,uploadedSelfAssessment,1
applications_deleted,createdAt,1
applications_deleted,qualifications,1
applications_deleted,characterChecks,1
applications_deleted,experienceUnderSchedule2D,1
applications_deleted,secondAssessorFullName,1
applications_deleted,uploadedExemptionCertificate,1
applications_deleted,selectionCriteriaAnswers,1
applications_deleted,cantGiveReasonableLOSDetails,1
applications_deleted,firstAssessorFullName,1
applications_deleted,client,1
applications_deleted,firstAssessorEmail,1
applications_deleted,uploadedPracticingCertificate,1
applications_deleted,secondAssessorType,1
applications_deleted,additionalWorkingPreferences,1
applications_deleted,firstAssessorPhone,1
applications_deleted,locationPreferences,1
applications_deleted,firstAssessorTitle,1
applications_deleted,_search,1
applications_deleted,userId,1
applications_deleted,canGiveReasonableLOS,1
applications_deleted,secondAssessorTitle,1
applications_deleted,exerciseName,1
applications_deleted,deletedAt,1
applications_deleted,employmentGaps,1
applications_deleted,experienceUnderSchedule2Three,1
applications_deleted,experienceDetails,1
applications_deleted,jurisdictionPreferences,1
applications_deleted,personalDetails,1
applications_deleted,progress,1
applications_deleted,applyingUnderSchedule2Three,1
applications_deleted,uploadedCoveringLetter,1
applications_deleted,secondAssessorEmail,1
applications_deleted,exerciseRef,1
applications_deleted,status,1
assessments,candidate,40
assessments,application,40
assessments,assessor,40
assessments,dueDate,40
assessments,exercise,40
assessments,type,40
assessments,_search,40
assessments,fileRef,40
assessments,status,40
assessments,cancelReason,10
assessments,declineReason,10
assessments,approved,10
assessments,filePath,11
assessments,updatedDate,11
assessments,submittedDate,11
assessments,id,1
bugReports,type,34
bugReports,url,43
bugReports,criticality,43
bugReports,issue,43
bugReports,expectation,43
bugReports,reporter,43
bugReports,candidate,43
bugReports,userId,43
bugReports,browser,43
bugReports,os,43
bugReports,cpsDevice,43
bugReports,userType,40
bugReports,question,40
bugReports,contactDetails,43
bugReports,exercise,43
bugReports,application,43
bugReports,environment,43
bugReports,platform,43
bugReports,referenceNumber,43
bugReports,createdBy,43
bugReports,createdAt,43
bugReports,lastUpdatedAt,43
bugReports,ref,43
bugReports,id,43
bugReports,slackMessages,43
bugReports,zenhubIssueId,21
bugReports,zenhubIssueNumber,21
bugReports,githubIssueUrl,21
bugReports,lastUpdated,4
bugReports,screenshot,4
bugReports,assigneeUserIds,6
bugReports,githubAssignees,6
bugReports,assigneeUserId,2
bugReports_deleted,application,23
bugReports_deleted,browser,23
bugReports_deleted,candidate,23
bugReports_deleted,contactDetails,23
bugReports_deleted,cpsDevice,23
bugReports_deleted,createdAt,23
bugReports_deleted,createdBy,23
bugReports_deleted,criticality,23
bugReports_deleted,environment,23
bugReports_deleted,exercise,23
bugReports_deleted,expectation,23
bugReports_deleted,githubIssueUrl,13
bugReports_deleted,id,22
bugReports_deleted,issue,23
bugReports_deleted,lastUpdatedAt,23
bugReports_deleted,os,23
bugReports_deleted,platform,23
bugReports_deleted,ref,22
bugReports_deleted,referenceNumber,23
bugReports_deleted,reporter,23
bugReports_deleted,slackMessages,23
bugReports_deleted,url,23
bugReports_deleted,userId,23
bugReports_deleted,zenhubIssueId,22
bugReports_deleted,zenhubIssueNumber,13
bugReports_deleted,deletedAt,23
bugReports_deleted,lastUpdated,2
bugReports_deleted,screenshot,2
candidateForms,exercise,4
candidateForms,task,4
candidateForms,openDate,4
candidateForms,closeDate,4
candidateForms,status,4
candidateForms,statusLog,4
candidateForms,lastUpdated,4
candidateForms,panellists,4
candidateForms,candidateAvailabilityDates,4
candidateForms,parts,4
candidateForms,candidateIds,4
candidates,created,136
candidates,email,136
candidates,lastUpdated,136
candidates,computed,136
candidates,fullName,136
candidates,_search,136
candidates,verification,24
candidates,emailVerified,1
candidates_deleted,_search,8
candidates_deleted,computed,8
candidates_deleted,created,10
candidates_deleted,email,8
candidates_deleted,fullName,8
candidates_deleted,lastUpdated,8
candidates_deleted,deletedAt,10
checksums,filepath,76
checksums,created,76
checksums,checksum,76
checksums_deleted,deletedAt,8
checksums_deleted,filepath,8
checksums_deleted,created,8
checksums_deleted,checksum,8
customReports,columns,8
customReports,name,8
customReports,whereClauses,8
customReports,users,8
exercises,selectionCategories,54
exercises,assessmentMethods,74
