Collection,Field,Count
applicationRecords,candidate,377
applicationRecords,notes,377
applicationRecords,stage,377
applicationRecords,application,377
applicationRecords,flags,377
applicationRecords,active,377
applicationRecords,exercise,377
applicationRecords,history,377
applicationRecords,issues,377
applicationRecords,status,377
applicationRecords,qualifyingTests,151
applicationRecords,lastUpdated,310
applicationRecords,_search,377
applicationRecords,diversity,186
applicationRecords,characterChecks,248
applicationRecords,stageLog,77
applicationRecords,statusLog,60
applicationRecords,_backups,20
applicationRecords,panelIds,31
applications,exerciseId,1158
applications,userId,1158
applications,exerciseName,1119
applications,exerciseRef,1119
applications,characterInformationV2,317
applications,personalDetails,1049
applications,characterInformation,442
applications,equalityAndDiversitySurvey,686
applications,additionalWorkingPreferences,80
applications,experienceUnderSchedule2D,569
applications,applyingUnderSchedule2d,569
applications,experienceUnderSchedule2Three,569
applications,applyingUnderSchedule2Three,569
applications,experience,676
applications,employmentGaps,656
applications,canGiveReasonableLOS,638
applications,cantGiveReasonableLOSDetails,638
applications,secondAssessorPhone,635
applications,secondAssessorTitle,575
applications,secondAssessorFullName,635
applications,firstAssessorPhone,636
applications,firstAssessorFullName,636
applications,firstAssessorTitle,576
applications,secondAssessorEmail,635
applications,firstAssessorEmail,636
applications,additionalInfo,272
applications,progress,1139
applications,referenceNumber,577
applications,appliedAt,577
applications,status,1149
applications,qualifications,589
applications,_sort,1044
applications,_search,1050
applications,lastUpdated,902
applications,_processing,354
applications,createdAt,1095
applications,secondAssessorSubmittedAssessment,301
applications,firstAssessorSubmittedAssessment,301
applications,quasiJudicialSittingDaysDetails,226
applications,skillsAquisitionDetails,168
applications,feePaidOrSalariedJudge,226
applications,declaredAppointmentInQuasiJudicialBody,226
applications,quasiJudicialSatForThirtyDays,226
applications,feePaidOrSalariedSittingDaysDetails,226
applications,feePaidOrSalariedSatForThirtyDays,226
applications,interestedInPartTime,268
applications,partTimeWorkingPreferencesDetails,239
applications,locationPreferences,383
applications,canSpeakWelsh,313
applications,canReadAndWriteWelsh,313
applications,applyingForWelshPost,313
applications,selectionCriteriaAnswers,516
applications,uploadedSelfAssessment,344
applications,characterChecks,267
applications,magistrateLocation,12
applications,magistrate,12
applications,magistrateEndDate,12
applications,magistrateStartDate,12
applications,applicant,16
applications,state,16
applications,vacancy,16
applications,updatedAt,16
applications,currentLegalRole,142
applications,charteredAssociationBuildingEngineersDate,196
applications,disability,142
applications,rcpYesNumber,127
applications,professionalBackground,142
applications,firstGenerationStudent,142
applications,otherReligionDetails,142
applications,declaredBankrupt,155
applications,charteredAssociationBuildingEngineersNumber,196
applications,GeneralMedicalCouncilConditionalRegistration,127
applications,gmcConditionalYesNumber,127
applications,oxbridgeUni,142
applications,charteredInstituteBuildingDate,196
applications,drinkDrugMobileMotoringOffenceDetails,155
applications,motoringOffencesAndSixPlusPoints,155
applications,otherProfessionalMemberships,196
applications,otherProfessionalMembershipsDate,196
applications,gmcConditionalYesDate,127
applications,disabilityDetails,142
applications,religionFaith,142
applications,gmcConditionalNoNumber,127
applications,rcpNoNumber,127
applications,charteredInstituteEnvironmentalHealthDate,196
applications,financialDifficultiesDetails,155
applications,charteredInstituteEnvironmentalHealthNumber,196
applications,royalCollegePsychiatristsFellow3Years,127
applications,gmcConditionalNoDate,127
applications,flag,114
applications,professionalMemberships,196
applications,gender,142
applications,stateOrFeeSchool,142
applications,criminalConvictionCaution,155
applications,conductNegligenceInvestigationDetails,155
applications,rcpNoDate,127
applications,disqualifiedFromDrivingDetails,155
applications,charteredInstituteBuildingNumber,196
applications,rcpYesDate,127
applications,changedGender,142
applications,gainedExperience,130
applications,royalInstitutionCharteredSurveyorsNumber,196
applications,motoringOffencesAndSixPlusPointsDetails,155
applications,criminalConvictionCautionDetails,155
applications,conductNegligenceInvestigation,155
applications,feePaidJudicialRole,142
applications,thirtyDaysSitting,130
applications,royalInstitutionCharteredSurveyorsDate,196
applications,gmcConditionalYesDetails,127
applications,hasTakenPAJE,142
applications,similarRole,130
applications,sexualOrientation,142
applications,hasBeenJudge,130
applications,otherCharacterIssuesDetails,155
applications,otherProfessionalMembershipsNumber,196
applications,disqualifiedFromDriving,155
applications,otherCharacterIssues,155
applications,ethnicGroup,142
